IATI-code,Funder-code,abbreviation,name,notes
41101,UNCCD,UNCCD,Convention to Combat Desertification,
41102,DLCO-EA,DLCO-EA,Desert Locust Control Organisation for Eastern Africa,
41103,ECA,ECA,Economic Commission for Africa,
41104,ECLAC,ECLAC,Economic Commission for Latin America and the Caribbean,
41105,ESCWA,ESCWA,Economic and Social Commission for Western Asia,
41106,ESCAP,ESCAP,Economic and Social Commission for Asia and the Pacific,
41107,IAEA-TCF,IAEA-TCF,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),
41108,IFAD,IFAD,International Fund for Agricultural Development,
41109,INSTRAW,INSTRAW,International Research and Training Institute for the Advancement of Women,
41110,UNAIDS,UNAIDS,Joint United Nations Programme on HIV/AIDS,
41111,UNCDF,UNCDF,United Nations Capital Development Fund,
41112,UNCTAD,UNCTAD,United Nations Conference on Trade and Development,
XM-DAC-41114,UNDP,UNDP,United Nations Development Programme,updated 29 Jan 2015
41116,UNEP,UNEP,United Nations Environment Programme,
41118,UNFCCC,UNFCCC,United Nations Framework Convention on Climate Change,
41119,UNFPA,UNFPA,United Nations Population Fund,
41120,UN-Habitat,UN Habitat,United Nations Human Settlement Programme,
41121,UNHCR,UNHCR,United Nations Office of the United Nations High Commissioner for Refugees,
41122,UNICEF,UNICEF,United Nations Childrens Fund,
41123,UNIDO,UNIDO,United Nations Industrial Development Organisation,
41124,UNIFEM,UNIFEM,United Nations Development Fund for Women,
41125,UNITAR,UNITAR,United Nations Institute for Training and Research,
41126,UNMAS,UNMAS,United Nations Mine Action Service,
XM-DAC-41127,UNOCHA,UNOCHA,United Nations Office of Co-ordination of Humanitarian Affairs,updated from 41127 MB 17 July 2017
41128,UNODC,UNODC,United Nations Office on Drugs and Crime,
41129,UNRISD,UNRISD,United Nations Research Institute for Social Development,
41130,UNRWA,UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East,
41131,UNSSC,UNSSC,United Nations System Staff College,
41132,UNSCN,UNSCN,United Nations System Standing Committee on Nutrition,
41133,UNSIA,UNSIA,United Nations Special Initiative on Africa,
41134,UNU,UNU,United Nations University (including Endowment Fund),
41135,UNV,UNV,United Nations Volunteers,
41136,UNVFD,UNVFD,United Nations Voluntary Fund on Disability,
41137,UNVFTC,UNVFTC,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,
41138,UNVFVT,UNVFVT,United Nations Voluntary Fund for Victims of Torture,
41140,WFP,WFP,World Food Programme,
41141,PBF-Window-2,PBF Window 2,United Nations Peacebuilding Fund (Window Two: Restricted Contributions Only),
41142,UNDEF,UNDEF,United Nations Democracy Fund,
41143,WHO-CVCA,WHO-CVCA,World Health Organisation - core voluntary contributions account,
41301,FAO,FAO,Food and Agricultural Organisation,
41302,ILO,ILO,International Labour Organisation,
41303,ITU,ITU,International Telecommunications Union,
41304,UNESCO,UNESCO,"United Nations Educational, Scientific and Cultural Organisation ",
41305,UN,UN,United Nations,
41306,UPU,UPU,Universal Postal Union,
41307,WHO-Assessed,WHO-Assessed,World Health Organisation - assessed contributions,
41308,WIPO,WIPO,World Intellectual Property Organisation,
41309,WMO,WMO,World Meteorological Organisation,
41310,UNDPKO,UNDPKO,"United Nations Department of Peacekeeping Operations (excluding UNTSO, UNMOGIP, UNFICYP, UNDOF) ",
41311,PBF-Window-1,PBF Window 1,United Nations Peacebuilding Fund (Window One: Flexible Contributions Only),
41312,IAEA-Assessed,IAEA-Assessed,International Atomic Energy Agency - assessed contributions,
41313,OHCHR,OHCHR,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),
41314,UNECE,UNECE,United Nations Economic Commission for Europe (extrabudgetary contributions only),
42001,EU,EC,European Commission - Development Share of Budget,
42003,EU,EDF,European Commission - European Development Fund,
42004,EU,EIB,European Investment Bank (interest subsidies only),
42005,XM,FEMIP,Facility for Euro-Mediterranean Investment and Partnership Trust Fund,
42006,XM,GEEREF,Global Energy Efficiency and Renewable Energy Fund,
43001,IMF,IMF-PRGF Trust,International Monetary Fund - Poverty Reduction and Growth Facility Trust,
43002,IMF,IMF-PRGF-HIPC Trust,"International Monetary Fund - Poverty Reduction and Growth Facility - Heavily Indebted Poor Countries Initiative Trust (includes HIPC, PRGF and PRGF-HIPC sub-accounts) ",
43003,IMF,IMF-ENDA,International Monetary Fund - Subsidization of IMF Emergency Assistance for Natural Disasters,
44000,IDA,WB,World Bank,
44001,IDA,IBRD,International Bank for Reconstruction and Development,
44002,IDA,IDA,International Development Association,
44003,IDA,IDA-HIPC,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund,
44004,WB,IFC,International Finance Corporation,
44005,WB,MIGA,Multilateral Investment Guarantee Agency,
44006,WB,AMCs,Advance Market Commitments,
44007,IDA,IDA-MDRI,International Development Association - Multilateral Debt Relief Initiative,
45001,WTO,WTO-ITC,World Trade Organisation - International Trade Centre,
45002,WTO,WTO-ACWL,World Trade Organisation - Advisory Centre on WTO Law,
45003,WTO,WTO-DDAGTF,World Trade Organisation - Doha Development Agenda Global Trust Fund,
46001,AfDF,ASF,African Solidarity Fund,
